palestra,tema,Presentes
1,Restauracao,54
2,Diversidade Filogenetica,21
3,Restauracao,39
4,Restauracao,47
5,Macroecologia,18
6,Diversidade Funcional,17
7,Interacoes Ecologicas,24
8,Distribuicao de Especies,27
9,Publicacao Cientifica,16
10,Mulher na Ciencia,47
11,Metacomunidades,13
12,Resumo,16
13,Interacoes Ecologicas,27
14,Estequiometria Ecologia,50
16,Biomonitoramento,26
18,Ecologia Microbiana,22
19,Populacoes de Vetores,22
20,Contingencia Ecologia,46
