id,formacao_ouvinte,origem_ouvinte,instituicao_ouvinte,laboratorio_ouvinte
197,Biologo,Externo,Sao Jose,Limnologia
132,Professor,Externo,Jardim Botanico,Polinizacao
142,NA,NA,NA,NA
210,NA,NA,NA,NA
77,PosDoc,PPGE,UFRJ,Biogeoquimica
146,Graduacao,IB,UFRJ,NA
95,Graduacao,IB,UFRJ,NA
88,Doutorado,PPGE,UFRJ,LBTP
218,NA,NA,NA,NA
41,Graduacao,IB,UFRJ,NA
42,Doutorado,PPGE,UFRJ,Limnologia
15,Doutorado,PGECOL,UFJF,Limnologia
103,Graduacao,Dept Ecologia,UFRJ,Vertebrados
187,Graduacao,Dept Ecologia,UFRJ,Peixes
225,Graduacao,Dept Ecologia,UFRJ,NA
159,Graduacao,Dept Ecologia,UFRJ,NA
140,Graduacao,Dept Ecologia,UFRJ,NA
61,Graduacao,Dept Ecologia,UFRJ,Vertebrados
160,Professor,Dept Ecologia,UFRJ,Vertebrados
6,Graduacao,IB,UFRJ,NA
54,Graduacao,IB,UFRJ,NA
10,Graduacao,IB,UFRJ,NA
93,Biologo,Externo,UERJ,NA
120,Doutorado,PPGE,UFRJ,Vertebrados
59,PosDoc,PPGE,UFRJ,Radioisotopos
156,Graduacao,IB,UFRJ,NA
118,Graduacao,IB,UFRJ,NA
203,Graduacao,Dept Ecologia,UFRJ,Limnologia
125,Doutorado,PPGE,UFRJ,Limnologia
79,Graduacao,Externo,UERJ,NA
124,Graduacao,Externo,UERJ,NA
114,Graduacao,Externo,UERJ,NA
28,Mestrado,PPGEE,UERJ,Riachos
208,Graduacao,Externo,UNIGRANRIO,NA
20,PosDoc,Interno,UFRJ,Peixes
65,Graduacao,IB,UFRJ,Vertebrados
148,Graduacao,Externo,UVA,NA
163,Mestrado,Externo,UFF,NA
64,Mestrado,PPGE,UFRJ,NA
91,Mestrado,PPGE,UFRJ,NA
214,Mestrado,PPGE,UFRJ,NA
126,Doutorado,PPGE,UFRJ,NA
8,Mestrado,PPGE,UFRJ,NA
22,Researcher,Externo,ULB,NA
176,Graduacao,IB,UFRJ,NA
94,Graduacao,IB,UFRJ,NA
82,Graduacao,IB,UFRJ,NA
196,Graduacao,Externo,Sao Jose,Limnologia
44,Graduacao,IB,UFRJ,Limnologia
184,Professor,Dept Zoologia,UFRJ,Polychaeta
216,NA,Externo,Fiocruz,LABPMR
14,NA,Externo,Fiocruz,LABPMR
37,Doutorado,PPGE,UFRJ,Peixes
66,Graduacao,Dept Ecologia,UFRJ,Inseto-Planta
180,Doutorado,Externo,UFMS,NA
34,Mestrado,PPGE,UFRJ,Vertebrados
50,Graduacao,Dept Ecologia,UFRJ,LECP
188,Mestrado,PPGE,UFRJ,LECP
60,Mestrado,PPGE,UFRJ,LEPAI
17,Mestrado,PPGE,UFRJ,Limnologia
39,Mestrado,PPGE,UFRJ,Bentos
23,Mestrado,PPGE,UFRJ,Bentos
113,Professor,IBCCF,UFRJ,Radioisotopos
181,PosDoc,PPGE,UFRJ,Ecologia Vegetal
81,Graduacao,IB,UFRJ,NA
194,Professor,Dept Ecologia,UFRJ,Limnologia
200,Graduacao,Externo,UNIGRANRIO,NA
119,Mestrado,PPGE,UFRJ,NA
1,Graduacao,IB,UFRJ,NA
102,Graduacao,IB,UFRJ,NA
31,Doutorado,PPGE,UFRJ,Vertebrados
48,Graduacao,IB,UFRJ,NA
128,Graduacao,IB,UFRJ,NA
167,Graduacao,IB,UFRJ,NA
108,Graduacao,IB,UFRJ,NA
13,Graduacao,IB,UFRJ,NA
109,Graduacao,IB,UFRJ,NA
26,Graduacao,IB,UFRJ,NA
130,Graduacao,IB,UFRJ,NA
192,Doutorado,PPGE,UFRJ,Limnologia
32,Graduacao,IB,UFRJ,NA
43,Graduacao,IB,UFRJ,NA
99,Graduacao,IB,UFRJ,NA
174,Professor,Dept Ecologia,UFRJ,Peixes
11,Professor,Externo,NUPEM,Peixes
35,Graduacao,IB,UFRJ,NA
107,Mestrado,Externo,UFJF,NA
97,Mestrado,Externo,UFRJ,NA
158,Professor,Faculdade de Educacao,UFRJ,NA
27,Graduacao,IB,UFRJ,NA
106,NA,Externo,UFRJ,Entomologia
49,Graduacao,IB,UFRJ,Inseto-Planta
