id;formacao_ouvinte;origem_ouvinte;instituicao_ouvinte;laboratorio_ouvinte;data;mes;ano;palestra;palestrante;titulo;responsavel;nacionalidade;origem_palestrante;instituicao_palestrante;ppge;laboratorio_palestrante;formacao_palestrante;tema #1;horario;semana;local
137;Graduacao;IB;UFRJ;NA;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
141;Graduacao;IB;UFRJ;LEI;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
24;Graduacao;IB;UFRJ;NA;4;4;2017;16;Peter Mayhew;The effect of afforestation on upland stream invertebrates in the North York Moors, UK;Peter Mayhew;Extrangeira;Externo;University of York;Nao;Mayhew Lab;Professor;Biomonitoramento;12;Terca;Sala 06
179;PosDoc;PPGE;UFRJ;Limnologia;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
162;PosDoc;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
182;PosDoc;PPE/COPPE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
83;Mestrado;PPGE;PUC;IIS;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
80;Mestrado;PPGE;UFRJ;Peixes;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
165;Doutorado;PPGE;UFRJ;Vertebrados;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
171;Doutorado;PPGE;UFRJ;Ecologia Vegetal;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
172;Doutorado;PPGE;UFRJ;Ecologia Vegetal;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
198;Professor;Dept Ecologia;UFRJ;LEI;5;10;2016;4;Bernardo Strassburg;A ciencia da sustentabilidade e a conservacao da biodiversidade;Aliny Pires;Brasileiro;Interno;PUC;Sim;IIS;Professor;Restauracao;16;Quarta;Salao Azul
