"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
8099,33,"BRA","Brazil",21,"Rio Grande do Sul",4181,"São Sebastião do Caí",8099,"São Sebastião do Caí","Distrito","District",NA,NA
8100,33,"BRA","Brazil",21,"Rio Grande do Sul",4182,"São Sepé",8100,"Cerrito do Ouro","Distrito","District",NA,NA
8101,33,"BRA","Brazil",21,"Rio Grande do Sul",4182,"São Sepé",8101,"Jazidas","Distrito","District",NA,NA
8102,33,"BRA","Brazil",21,"Rio Grande do Sul",4182,"São Sepé",8102,"São Sepé","Distrito","District",NA,NA
8103,33,"BRA","Brazil",21,"Rio Grande do Sul",4182,"São Sepé",8103,"Tupanci","Distrito","District",NA,NA
8104,33,"BRA","Brazil",21,"Rio Grande do Sul",4182,"São Sepé",8104,"Vila Block","Distrito","District",NA,NA
8105,33,"BRA","Brazil",21,"Rio Grande do Sul",4183,"São Valério do Sul",8105,"São Valério do Sul","Distrito","District",NA,NA
8106,33,"BRA","Brazil",21,"Rio Grande do Sul",4184,"São Valentim do Sul",8106,"Cavajureta","Distrito","District",NA,NA
8107,33,"BRA","Brazil",21,"Rio Grande do Sul",4184,"São Valentim do Sul",8107,"Fazenda Fialho","Distrito","District",NA,NA
8108,33,"BRA","Brazil",21,"Rio Grande do Sul",4184,"São Valentim do Sul",8108,"Loreto","Distrito","District",NA,NA
8109,33,"BRA","Brazil",21,"Rio Grande do Sul",4184,"São Valentim do Sul",8109,"São Valentim do Sul","Distrito","District",NA,NA
8110,33,"BRA","Brazil",21,"Rio Grande do Sul",4184,"São Valentim do Sul",8110,"São Vicente do Sul","Distrito","District",NA,NA
8111,33,"BRA","Brazil",21,"Rio Grande do Sul",4184,"São Valentim do Sul",8111,"Santa Bárbara","Distrito","District",NA,NA
8112,33,"BRA","Brazil",21,"Rio Grande do Sul",4185,"São Valentim",8112,"São Valentim","Distrito","District",NA,NA
8113,33,"BRA","Brazil",21,"Rio Grande do Sul",4186,"São Vendelino",8113,"São Vendelino","Distrito","District",NA,NA
8114,33,"BRA","Brazil",21,"Rio Grande do Sul",4187,"Sério",8114,"Sério","Distrito","District",NA,NA
8115,33,"BRA","Brazil",21,"Rio Grande do Sul",4188,"Sagrada Família",8115,"Leonel Rocha","Distrito","District",NA,NA
8116,33,"BRA","Brazil",21,"Rio Grande do Sul",4188,"Sagrada Família",8116,"Sagrada Família","Distrito","District",NA,NA
8117,33,"BRA","Brazil",21,"Rio Grande do Sul",4189,"Saldanha Marinho",8117,"Campinas","Distrito","District",NA,NA
8118,33,"BRA","Brazil",21,"Rio Grande do Sul",4189,"Saldanha Marinho",8118,"Saldanha Marinho","Distrito","District",NA,NA
8119,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8119,"Bela Vista","Distrito","District",NA,NA
8120,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8120,"Capão Bonito","Distrito","District",NA,NA
8121,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8121,"Jacuizinho","Distrito","District",NA,NA
8122,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8122,"Julio Borges","Distrito","District",NA,NA
8123,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8123,"Novo Horizonte","Distrito","District",NA,NA
8124,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8124,"Oralina","Distrito","District",NA,NA
8125,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8125,"Passo Real","Distrito","District",NA,NA
8126,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8126,"Rincao do Ivai","Distrito","District",NA,NA
8127,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8127,"Rincao dos Costas","Distrito","District",NA,NA
8128,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8128,"Salto do Jacuí","Distrito","District",NA,NA
8129,33,"BRA","Brazil",21,"Rio Grande do Sul",4190,"Salto do Jacuí",8129,"Tabajara","Distrito","District",NA,NA
8130,33,"BRA","Brazil",21,"Rio Grande do Sul",4191,"Salvador das Missões",8130,"Salvador das Missões","Distrito","District",NA,NA
8131,33,"BRA","Brazil",21,"Rio Grande do Sul",4191,"Salvador das Missões",8131,"Santa Catarina","Distrito","District",NA,NA
8132,33,"BRA","Brazil",21,"Rio Grande do Sul",4192,"Salvador do Sul",8132,"Campestre","Distrito","District",NA,NA
8133,33,"BRA","Brazil",21,"Rio Grande do Sul",4192,"Salvador do Sul",8133,"Linha Comprida","Distrito","District",NA,NA
8134,33,"BRA","Brazil",21,"Rio Grande do Sul",4192,"Salvador do Sul",8134,"Linha dom Diogo","Distrito","District",NA,NA
8135,33,"BRA","Brazil",21,"Rio Grande do Sul",4192,"Salvador do Sul",8135,"Linha São João","Distrito","District",NA,NA
8136,33,"BRA","Brazil",21,"Rio Grande do Sul",4192,"Salvador do Sul",8136,"Salvador do Sul","Distrito","District",NA,NA
8137,33,"BRA","Brazil",21,"Rio Grande do Sul",4193,"Sananduva",8137,"Rio Tigre","Distrito","District",NA,NA
8138,33,"BRA","Brazil",21,"Rio Grande do Sul",4193,"Sananduva",8138,"Sananduva","Distrito","District",NA,NA
8139,33,"BRA","Brazil",21,"Rio Grande do Sul",4194,"Santa Bárbara do Sul",8139,"Capão Alto","Distrito","District",NA,NA
8140,33,"BRA","Brazil",21,"Rio Grande do Sul",4194,"Santa Bárbara do Sul",8140,"Itaíba","Distrito","District",NA,NA
8141,33,"BRA","Brazil",21,"Rio Grande do Sul",4194,"Santa Bárbara do Sul",8141,"Santa Bárbara do Sul","Distrito","District",NA,NA
8142,33,"BRA","Brazil",21,"Rio Grande do Sul",4195,"Santa Clara do Sul",8142,"Santa Clara do Sul","Distrito","District",NA,NA
8143,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8143,"Alto Paredao","Distrito","District",NA,NA
8144,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8144,"Boa Vista","Distrito","District",NA,NA
8145,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8145,"Monte Alverne","Distrito","District",NA,NA
8146,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8146,"Rio Pardinho","Distrito","District",NA,NA
8147,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8147,"São Martinho","Distrito","District",NA,NA
8148,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8148,"Santa Cruz do Sul","Distrito","District",NA,NA
8149,33,"BRA","Brazil",21,"Rio Grande do Sul",4196,"Santa Cruz do Sul",8149,"Saraiva","Distrito","District",NA,NA
8150,33,"BRA","Brazil",21,"Rio Grande do Sul",4197,"Santa Maria do Herval",8150,"Santa Maria do Herval","Distrito","District",NA,NA
8151,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8151,"Arroio do Sol","Distrito","District",NA,NA
8152,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8152,"Arroio Grande","Distrito","District",NA,NA
8153,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8153,"Boca do Monte","Distrito","District",NA,NA
8154,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8154,"Pains","Distrito","District",NA,NA
8155,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8155,"Palma","Distrito","District",NA,NA
8156,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8156,"Passo do Verde","Distrito","District",NA,NA
8157,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8157,"São Valentim","Distrito","District",NA,NA
8158,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8158,"Santa Flora","Distrito","District",NA,NA
8159,33,"BRA","Brazil",21,"Rio Grande do Sul",4198,"Santa Maria",8159,"Santa Maria","Distrito","District",NA,NA
8160,33,"BRA","Brazil",21,"Rio Grande do Sul",4199,"Santa Rosa",8160,"Santa Rosa","Distrito","District",NA,NA
8161,33,"BRA","Brazil",21,"Rio Grande do Sul",4199,"Santa Rosa",8161,"Sete de Setembro","Distrito","District",NA,NA
8162,33,"BRA","Brazil",21,"Rio Grande do Sul",4200,"Santa Tereza",8162,"Santa Tereza","Distrito","District",NA,NA
8163,33,"BRA","Brazil",21,"Rio Grande do Sul",4201,"Santa Vitória do Palmar",8163,"Arvore So","Distrito","District",NA,NA
8164,33,"BRA","Brazil",21,"Rio Grande do Sul",4201,"Santa Vitória do Palmar",8164,"Atlantico","Distrito","District",NA,NA
8165,33,"BRA","Brazil",21,"Rio Grande do Sul",4201,"Santa Vitória do Palmar",8165,"Curral Alto","Distrito","District",NA,NA
8166,33,"BRA","Brazil",21,"Rio Grande do Sul",4201,"Santa Vitória do Palmar",8166,"Mirim","Distrito","District",NA,NA
8167,33,"BRA","Brazil",21,"Rio Grande do Sul",4201,"Santa Vitória do Palmar",8167,"Santa Vitória do Palmar","Distrito","District",NA,NA
8168,33,"BRA","Brazil",21,"Rio Grande do Sul",4201,"Santa Vitória do Palmar",8168,"Taim","Distrito","District",NA,NA
8169,33,"BRA","Brazil",21,"Rio Grande do Sul",4202,"Santana da Boa Vista",8169,"Santana da Boa Vista","Distrito","District",NA,NA
8170,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8170,"Cati","Distrito","District",NA,NA
8171,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8171,"Espinilho","Distrito","District",NA,NA
8172,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8172,"Ibicuí","Distrito","District",NA,NA
8173,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8173,"Pampeiro","Distrito","District",NA,NA
8174,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8174,"São Diogo","Distrito","District",NA,NA
8175,33,"BRA","Brazil",21,"Rio Grande do Sul",4203,"Santana do Livramento",8175,"Santana do Livramento","Distrito","District",NA,NA
